Zipcode,Population,Median Age,Household Income,Per Capita Income
12810,724.0,46.5,57500.0,25551.0
12812,58.0,64.1,49583.0,23600.0
12814,1282.0,46.4,58176.0,35508.0
12815,1103.0,54.2,60458.0,30685.0
12816,4417.0,46.9,50417.0,26988.0
12817,2330.0,45.2,59861.0,26976.0
12819,309.0,55.6,43839.0,23297.0
12821,2816.0,35.6,34000.0,3450.0
12822,6277.0,40.4,52578.0,24178.0
12823,369.0,54.7,82639.0,26705.0
12824,1114.0,55.7,61650.0,38444.0
12827,3800.0,43.6,62917.0,25545.0
12828,9363.0,44.2,51250.0,28026.0
12831,17727.0,40.7,78505.0,32984.0
12832,6618.0,45.0,43918.0,22318.0
12833,4183.0,47.9,65898.0,32373.0
12834,6104.0,44.2,56104.0,30289.0
12835,2344.0,51.2,51148.0,25733.0
12836,682.0,55.4,61739.0,30614.0
12837,941.0,44.6,45446.0,22653.0
12838,559.0,49.3,56250.0,31448.0
12839,13740.0,37.4,44350.0,21932.0
12841,100.0,68.2,27500.0,42708.0
12842,730.0,48.8,37321.0,33690.0
12843,539.0,48.4,38393.0,22477.0
12844,263.0,53.0,60000.0,34329.0
12845,4792.0,51.5,66710.0,38335.0
12846,3265.0,44.0,53112.0,24880.0
12847,389.0,53.3,62917.0,39498.0
12849,623.0,37.8,70263.0,23449.0
12850,3143.0,41.1,74622.0,33741.0
12851,257.0,57.1,48036.0,25082.0
12852,447.0,61.3,46094.0,26045.0
12853,1228.0,55.8,38906.0,19898.0
12855,196.0,52.8,44583.0,24458.0
12857,602.0,44.6,49397.0,23297.0
12859,2297.0,37.6,55776.0,28881.0
12860,794.0,34.5,38043.0,16475.0
12861,742.0,51.0,63125.0,38021.0
12863,690.0,44.6,69125.0,32134.0
12865,3833.0,46.7,57000.0,24995.0
12866,37050.0,41.2,70515.0,40229.0
12870,836.0,50.9,55938.0,32013.0
12871,4284.0,40.2,64653.0,33067.0
12872,41.0,49.8,28750.0,8980.0
12873,695.0,50.6,48750.0,28567.0
12874,142.0,68.8,69583.0,53814.0
12878,774.0,52.1,50500.0,24117.0
12883,5010.0,46.4,52936.0,27875.0
