Zipcode,Region
01103,HartfordSpringfield    
01104,HartfordSpringfield    
01105,HartfordSpringfield    
01106,HartfordSpringfield    
01107,HartfordSpringfield    
01108,HartfordSpringfield    
01109,HartfordSpringfield    
01118,HartfordSpringfield    
01119,HartfordSpringfield    
01128,HartfordSpringfield    
01129,HartfordSpringfield    
01151,HartfordSpringfield    
02108,Boston
02109,Boston
02110,Boston
02111,Boston
02113,Boston
02114,Boston
02115,Boston
02116,Boston
02118,Boston
02119,Boston
02120,Boston
02121,Boston
02122,Boston
02124,Boston
02125,Boston
02126,Boston
02127,Boston
02128,Boston
02129,Boston
02130,Boston
02131,Boston
02132,Boston
02134,Boston
02135,Boston
02136,Boston
02138,Boston
02139,Boston
02140,Boston
02141,Boston
02142,Boston
02143,Boston
02144,Boston
02145,Boston
02148,Boston
02149,Boston
02150,Boston
02151,Boston
02152,Boston
02155,Boston
02163,Boston
02169,Boston
02170,Boston
02171,Boston
02176,Boston
02180,Boston
02184,Boston
02186,Boston
02188,Boston
02189,Boston
02190,Boston
02191,Boston
02199,Boston
02210,Boston
02215,Boston
02301,Boston
02302,Boston
02322,Boston
02324,Boston
02330,Boston
02332,Boston
02333,Boston
02338,Boston
02339,Boston
02341,Boston
02343,Boston
02346,Boston
02347,Boston
02351,Boston
02356,Boston
02359,Boston
02360,Boston
02364,Boston
02367,Boston
02368,Boston
02370,Boston
02375,Boston
02379,Boston
02382,Boston
02420,Boston
02421,Boston
02445,Boston
06103,HartfordSpringfield    
06105,HartfordSpringfield    
06106,HartfordSpringfield    
06107,HartfordSpringfield    
06108,HartfordSpringfield    
06109,HartfordSpringfield    
06110,HartfordSpringfield    
06111,HartfordSpringfield    
06112,HartfordSpringfield    
06114,HartfordSpringfield    
06117,HartfordSpringfield    
06118,HartfordSpringfield    
06119,HartfordSpringfield    
06120,HartfordSpringfield    
10001,NewYork
10002,NewYork
10003,NewYork
10004,NewYork
10005,NewYork
10006,NewYork
10007,NewYork
10009,NewYork
10010,NewYork
10011,NewYork
10012,NewYork
10013,NewYork
