,region,Average Price,Minimum Price,Maximum Price,Min/Max Delta,Standard Deviation,Total Volume (in millions)
0,Albany,1.57,0.85,2.13,1.28,0.0167,14.53
1,Atlanta,1.34,0.62,2.75,2.13,0.0229,80.37
2,BaltimoreWashington,1.55,0.95,2.28,1.33,0.0172,122.56
3,Boise,1.34,0.58,2.79,2.21,0.0262,13.2
4,Boston,1.53,0.85,2.19,1.34,0.0188,88.64
5,BuffaloRochester,1.54,1.04,2.57,1.53,0.0153,20.84
6,California,1.39,0.67,2.58,1.91,0.0222,945.24
7,Charlotte,1.62,0.8,2.83,2.03,0.0237,31.97
8,Chicago,1.56,0.7,2.3,1.6,0.0194,122.09
9,CincinnatiDayton,1.2,0.44,2.2,1.76,0.0198,40.92
10,Columbus,1.26,0.52,2.22,1.7,0.0181,27.15
11,DallasFtWorth,1.08,0.65,1.9,1.25,0.0166,190.25
12,Denver,1.21,0.6,2.16,1.56,0.0182,127.06
13,Detroit,1.28,0.48,2.08,1.6,0.0183,57.4
14,GrandRapids,1.52,0.77,2.73,1.96,0.0212,27.64
15,GreatLakes,1.34,0.73,1.98,1.25,0.0148,536.48
16,HarrisburgScranton,1.53,0.91,2.27,1.36,0.0183,37.91
17,HartfordSpringfield,1.83,0.86,2.68,1.82,0.0269,46.18
18,Houston,1.05,0.51,1.92,1.41,0.0169,183.19
19,Indianapolis,1.33,0.77,2.1,1.33,0.0161,27.35
20,Jacksonville,1.52,0.54,2.99,2.45,0.024,26.08
21,LasVegas,1.38,0.54,3.03,2.49,0.0272,49.88
22,LosAngeles,1.21,0.53,2.44,1.91,0.0213,469.84
23,Louisville,1.29,0.56,2.29,1.73,0.0183,14.63
24,MiamiFtLauderdale,1.43,0.59,3.05,2.46,0.0195,87.93
25,Nashville,1.21,0.51,2.24,1.73,0.0189,32.1
26,NewOrleansMobile,1.31,0.58,2.32,1.74,0.0172,41.63
27,NewYork,1.74,0.77,2.65,1.88,0.0227,217.0
28,NorthernNewEngland,1.48,0.95,1.96,1.01,0.0171,64.9
29,Orlando,1.52,0.58,2.87,2.29,0.0227,52.75
30,Philadelphia,1.65,0.91,2.45,1.54,0.0183,65.27
31,PhoenixTucson,1.23,0.46,2.62,2.16,0.0312,177.63
32,Pittsburgh,1.37,0.87,1.83,0.96,0.0099,16.9
33,Portland,1.31,0.68,2.86,2.18,0.0267,102.15
34,RaleighGreensboro,1.56,0.86,3.04,2.18,0.0242,43.41
35,RichmondNorfolk,1.3,0.78,2.05,1.27,0.0147,38.24
36,Roanoke,1.25,0.7,2.27,1.57,0.0158,22.55
37,Sacramento,1.63,0.91,2.82,1.91,0.0254,68.3
38,SanDiego,1.39,0.61,2.74,2.13,0.026,83.12
39,SanFrancisco,1.82,0.84,3.25,2.41,0.032,122.85
40,Seattle,1.44,0.7,2.96,2.26,0.0273,101.27
41,SouthCarolina,1.41,0.69,2.21,1.52,0.0191,54.92
42,Spokane,1.45,0.74,2.95,2.21,0.0281,14.34
43,StLouis,1.43,0.58,2.84,2.26,0.024,29.54
44,Syracuse,1.54,1.03,2.44,1.41,0.0139,9.9
45,Tampa,1.41,0.56,3.17,2.61,0.0198,59.36
46,WestTexNewMexico,1.26,0.52,2.93,2.41,0.0286,132.72
