,region,Average Price,Minimum Price,Maximum Price,Min/Max Delta,Standard Deviation,Total Volume
0,Albany,1.5706050955414015,0.85,2.13,1.2799999999999998,0.01671617377630218,14.525813799999987
1,Atlanta,1.34171974522293,0.62,2.75,2.13,0.022868700580616748,80.37369640000006
2,BaltimoreWashington,1.5461464968152858,0.95,2.28,1.3299999999999998,0.017186474729495495,122.55501631999994
3,Boise,1.337101910828025,0.58,2.79,2.21,0.02624279372186071,13.198428179999988
4,Boston,1.5273885350318472,0.85,2.19,1.3399999999999999,0.018767734563152155,88.63697886999998
5,BuffaloRochester,1.5390445859872615,1.04,2.57,1.5299999999999998,0.015318967906460841,20.838652359999987
6,California,1.3941082802547764,0.67,2.58,1.9100000000000001,0.02218021435373226,945.2403442299993
7,Charlotte,1.6154777070063686,0.8,2.83,2.0300000000000002,0.023725608157599356,31.969654819999995
8,Chicago,1.5564012738853508,0.7,2.3,1.5999999999999999,0.01940215544887879,122.08810689999993
9,CincinnatiDayton,1.2041082802547773,0.44,2.2,1.7600000000000002,0.01981282356043889,40.92372028000004
10,Columbus,1.2589808917197454,0.52,2.22,1.7000000000000002,0.018080232060712787,27.14946142
11,DallasFtWorth,1.084267515923567,0.65,1.9,1.25,0.016634501353534704,190.24754121999993
12,Denver,1.2138216560509554,0.6,2.16,1.56,0.018165945256146048,127.05718258999998
13,Detroit,1.2835987261146495,0.48,2.08,1.6,0.01834941021082882,57.39946203000002
14,GrandRapids,1.518503184713375,0.77,2.73,1.96,0.02124921733298322,27.642272599999988
15,GreatLakes,1.3431528662420378,0.73,1.98,1.25,0.014760516320597786,536.4818713199999
16,HarrisburgScranton,1.526783439490446,0.91,2.27,1.3599999999999999,0.01826872392153833,37.90704684000001
17,HartfordSpringfield,1.829426751592355,0.86,2.68,1.8200000000000003,0.026874694594977887,46.18279680999999
18,Houston,1.0483757961783435,0.51,1.92,1.41,0.016866839040371565,183.18535069000015
19,Indianapolis,1.3251273885350319,0.77,2.1,1.33,0.016061076253236217,27.354716629999967
20,Jacksonville,1.5150955414012748,0.54,2.99,2.45,0.02397985712398719,26.0816004
21,LasVegas,1.3799363057324843,0.54,3.03,2.4899999999999998,0.0272004196786087,49.88327489999995
22,LosAngeles,1.2056369426751588,0.53,2.44,1.91,0.021338505732614123,469.8441700400006
23,Louisville,1.2881210191082806,0.56,2.29,1.73,0.018302149487535172,14.625441389999995
24,MiamiFtLauderdale,1.4349363057324838,0.59,3.05,2.46,0.019495334223124352,87.93180339999999
25,Nashville,1.2113057324840768,0.51,2.24,1.7300000000000002,0.018920029826584025,32.09973588
26,NewOrleansMobile,1.3124840764331214,0.58,2.32,1.7399999999999998,0.017235432022845373,41.631175909999975
27,NewYork,1.7392675159235664,0.77,2.65,1.88,0.022658366092551122,217.00487236000012
28,NorthernNewEngland,1.481687898089172,0.95,1.96,1.01,0.017122585581557145,64.89672556000001
29,Orlando,1.5178025477707,0.58,2.87,2.29,0.02269378041091565,52.74576491999999
30,Philadelphia,1.646146496815287,0.91,2.45,1.54,0.01826716048670593,65.27156126000003
31,PhoenixTucson,1.2297452229299362,0.46,2.62,2.16,0.03118312703875357,177.6305069699999
32,Pittsburgh,1.3711146496815294,0.87,1.83,0.9600000000000001,0.009914219636887203,16.904826090000004
33,Portland,1.3117197452229297,0.68,2.86,2.1799999999999997,0.026716651066846436,102.15442113999997
34,RaleighGreensboro,1.556656050955414,0.86,3.04,2.18,0.024173101365526965,43.41383638
35,RichmondNorfolk,1.29563694267516,0.78,2.05,1.2699999999999998,0.014693895661196587,38.23602839000001
36,Roanoke,1.2450318471337571,0.7,2.27,1.57,0.01577639072794832,22.551240910000022
37,Sacramento,1.6329936305732486,0.91,2.82,1.9099999999999997,0.025353805019007154,68.29599709999992
38,SanDiego,1.3920700636942687,0.61,2.74,2.1300000000000003,0.02600401530486648,83.1180692
39,SanFrancisco,1.823662420382165,0.84,3.25,2.41,0.03204218494309081,122.84693250999992
40,Seattle,1.4416242038216551,0.7,2.96,2.26,0.02734165135283859,101.27308361
41,SouthCarolina,1.4135987261146512,0.69,2.21,1.52,0.019099407886397485,54.91769156000001
42,Spokane,1.447165605095541,0.74,2.95,2.21,0.028141018217829387,14.339382009999989
43,StLouis,1.4279299363057332,0.58,2.84,2.26,0.02399366587036265,29.53517333999999
44,Syracuse,1.5409554140127384,1.03,2.44,1.41,0.01393642351416798,9.895680019999999
45,Tampa,1.4148089171974518,0.56,3.17,2.61,0.01976063969739331,59.36248430999995
46,WestTexNewMexico,1.2625080385852094,0.52,2.93,2.41,0.028552508822976087,132.72101900000004
